Title,Company,Description,ContractType,Skills
PHP Developer,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Python - R - Node.js
JAVASCRIPT Developer,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,CDI,Oracle - R - Deep Learning - JavaScript - Python
Data Governance Lead,Tech Solutions,Collaborate with stakeholders to implement data-driven strategies.,Stage,Pig - Tableau - TensorFlow - SQL Server
Data Scientist,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Scikit-learn - NoSQL - Java - Spark
Consultant SAP,Big Data Services,Leading the development of machine learning models to optimize business processes.,Freelance,Cloud Computing - GCP - NoSQL
AZURE Solutions Architect,Data Driven,Develop scalable and secure cloud-based data solutions.,CDI,Azure - Hive - GCP
NODE.JS Developer,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Data Visualization - Hive - React - Python - SQL
Consultant SAP,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Tableau - Business Intelligence - Pig
AI Specialist,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,CDI,Spark - R - Data Visualization
Développeur Python,HRS HOSPITALITY & RETAIL SYSTEMS,Leading the development of machine learning models to optimize business processes.,CDI,Pandas - R - TensorFlow - Deep Learning
Machine Learning Engineer,Big Data Services,Work on data integration and ETL processes to ensure data quality.,Stage,Data Architecture - JavaScript - Spark
Network Architect,Tech Innovators,Work on data integration and ETL processes to ensure data quality.,CDI,Pandas - Machine Learning - Business Intelligence
Data Consultant,Data Driven,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Data Mining - AWS - React - Big Data - Data Governance
AZURE Solutions Architect,AMENTYS,Leading the development of machine learning models to optimize business processes.,Stage,Spark - SQL - Hive - Data Visualization - Power BI
Network Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Stage,Pandas - Data Governance - Hive - Java - Deep Learning
Machine Learning Engineer,Data Analytics Co.,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Cloud Computing - Machine Learning - Keras
REACT Developer,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Power BI - R - Cloud Computing
Sales Manager,Future Data,Manage data warehouses and optimize query performance.,Statutaire,Python - Oracle - R - JavaScript - Node.js
Chef de Département,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,CDI,Cloud Computing - Java - Docker - Node.js
QA Tester,Machine Learning Labs,Provide technical expertise in data analysis and business intelligence.,CDI,Azure - Data Governance - Java
Consultant SAP,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Deep Learning - Tableau - Azure - Pandas
NODE.JS Developer,Future Data,Manage data warehouses and optimize query performance.,Stage,Hive - Cloud Computing - Java
AZURE Solutions Architect,Tech Innovators,Manage data warehouses and optimize query performance.,Freelance,Java - Tableau - Big Data - Machine Learning
Cyber Security Engineer,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,CDI,Spark - Keras - Docker - JavaScript - Power BI
Chef de Département,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Freelance,R - SQL - AWS - JavaScript - Tableau
Cloud Data Engineer,Data Engineers United,Manage data warehouses and optimize query performance.,CDD,Data Governance - Numpy - SQL Server
Sales Manager,Data Masters,Provide technical expertise in data analysis and business intelligence.,CDI,TensorFlow - Cloud Computing - SQL Server - JavaScript
SWIFT Developer,Tech Solutions,Manage data warehouses and optimize query performance.,Statutaire,Cloud Computing - Spark - Scikit-learn
Développeur Python,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,CDI,Machine Learning - Data Mining - GCP
SWIFT Developer,Data Analytics Co.,Manage data warehouses and optimize query performance.,Freelance,Spark - Deep Learning - SQL Server
Network Architect,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,SQL - JavaScript - Machine Learning - AWS
Big Data Engineer,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Tableau - Data Governance - GCP
Développeur Python,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,Freelance,Big Data - Numpy - Tableau
Data Engineer,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,Freelance,Data Architecture - Data Visualization - AWS - Pig - Spark
JAVASCRIPT Developer,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Oracle - TensorFlow - GCP
Network Architect,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Pandas - Spark - Data Mining - Data Governance - JavaScript
QA Tester,Tech Innovators,Develop scalable and secure cloud-based data solutions.,Freelance,Hadoop - React - Tableau - Data Mining
AWS Cloud Architect,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Data Visualization - SQL Server - Oracle
Cloud System Administrator,Tech Solutions,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Data Visualization - R - Numpy - Hive - Java
Cloud System Administrator,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,Statutaire,Scikit-learn - R - SQL Server - Business Intelligence
Database Administrator,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Python - Node.js - JavaScript - Tableau
Développeur Python,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,Stage,TensorFlow - Pig - Spark
Data Scientist,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Docker - Keras - R
Cyber Security Engineer,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDI,TensorFlow - Cloud Computing - Azure
AWS Cloud Architect,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Stage,Big Data - TensorFlow - Oracle
Cloud System Integrator,Data Masters,Manage data warehouses and optimize query performance.,Freelance,Oracle - Power BI - Hadoop - Spark - Pandas
NODE.JS Developer,Tech Innovators,Develop scalable and secure cloud-based data solutions.,Statutaire,SQL - Numpy - JavaScript - Data Architecture
PHP Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,Stage,Hive - NoSQL - Data Governance
AZURE Solutions Architect,Data Driven,Manage data warehouses and optimize query performance.,Statutaire,Azure - JavaScript - Oracle - NoSQL - Big Data
AI Specialist,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Java - Node.js - Tableau
Data Consultant,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,CDI,GCP - Azure - JavaScript - Business Intelligence - Docker
JAVASCRIPT Developer,AMENTYS,Manage data warehouses and optimize query performance.,Freelance,Pig - NoSQL - Data Mining - Hive - Node.js
Big Data Engineer,Data Engineers United,Manage data warehouses and optimize query performance.,Statutaire,Hive - Java - Data Mining - SQL
Data Engineer,Cloud Innovators,Manage data warehouses and optimize query performance.,Freelance,Scikit-learn - Data Visualization - Tableau - Data Governance - Azure
PHP Developer,Cloud Innovators,Manage data warehouses and optimize query performance.,CDD,Machine Learning - Hive - Kubernetes - Power BI - Big Data
Machine Learning Engineer,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Scikit-learn - Big Data - Keras
SWIFT Developer,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Power BI - Node.js - Pig
Big Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Oracle - Keras - AWS
Data Consultant,Data Masters,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Data Governance - Python - Java
Data Consultant,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDI,Big Data - Data Governance - Spark - Power BI
Cyber Security Engineer,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Azure - SQL - R
AWS Cloud Architect,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,NoSQL - Data Visualization - Python - Data Mining
Data Analyst,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDD,Hive - Pig - Cloud Computing - TensorFlow - React
Machine Learning Engineer,AFRICASHORE,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Business Intelligence - Oracle - AWS
Développeur Python,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Java - Azure - Cloud Computing
Chef de Département,AMENTYS,Work on data integration and ETL processes to ensure data quality.,Statutaire,Numpy - Docker - JavaScript - Java - AWS
Big Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Provide technical expertise in data analysis and business intelligence.,CDI,R - NoSQL - Machine Learning
Cloud System Administrator,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Spark - Scikit-learn - Java - Business Intelligence - Tableau
Data Architect,Data Driven,Develop scalable and secure cloud-based data solutions.,CDI,TensorFlow - Machine Learning - Node.js
Data Consultant,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Deep Learning - Machine Learning - Docker
Data Scientist,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Pandas - JavaScript - Pig - Spark - Numpy
JAVASCRIPT Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,Statutaire,Data Mining - Data Visualization - Business Intelligence - Cloud Computing - Machine Learning
Data Engineer,Future Data,Manage data warehouses and optimize query performance.,CDD,Power BI - Hive - Cloud Computing - Machine Learning - Data Governance
NODE.JS Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop scalable and secure cloud-based data solutions.,CDI,Data Governance - Data Mining - Business Intelligence
